Avatar,HeyGen Avatar ID,HeyGen Voice ID,Video Avatar ID,Video Voice ID,Live Avatar ID,ElevenLabs Voice ID
June,June_HR_public,f081135e72934ddc82d4e9a26b513f91,June_HR_public,f081135e72934ddc82d4e9a26b513f91,65f9e3c9-d48b-4118-b73a-4ae2e3cbb8f0,0S1rhLzIdFVPtcYQqXG4
Mark Kohl,e16db57e57824a0e90b661ad528d3994,f432f2348d9948c6a5be7da8d0e06bda,93cea50f10a14444888832d07925a94d,,98917de8-81a1-4a24-ad0b-584fff35c168,Am7G7QzYkKkdR8bmdQqY
Nigel,2bc688a56d3949d3a49aab4a44efab49,fWUVBoxa3cvv6VWj6VRS,b570e1e91cdc4d52931a9a124c0e3f3f,6eafa43fdc16437b8f5abe512cc2b3cf,0eb7418e-f377-43d5-806a-091f11e75541,fWUVBoxa3cvv6VWj6VRS
Kelsey,4fa4c788dd88433192768429c55e32b7,uYXf8XasLslADfZ2MB4u,84f913285ac944188a35ce5b58ceb861,2a0dc5fa7e3c4fd28e0295feadfd974d,4fa4c788-dd88-4331-9276-8429c55e32b7,uYXf8XasLslADfZ2MB4u
Thad,3f462a972adc41749c1cb946ae4f909d,736ca8f646f5469c8a846b5f04bef43d,1da3f06fc92a4a9bbbe10f81b3b6a498,oNLn7a7xv87XHdamxgeT,3f462a97-2adc-4174-9c1c-b946ae4f909d,QF9HJC7XWnue5c9W3LkY
Ann,Ann_Therapist_public,6eafa43fdc16437b8f5abe512cc2b3cf,Ann_Therapist_public,6eafa43fdc16437b8f5abe512cc2b3cf,513fd1b7-7ef9-466d-9af2-344e51eeb833,NI9WUdgpEb9ZlK3IOl1q
Willie Gault,a9d3346d94594c5f9ca522f6d0469038,cb25a875e3bc4d3fb6d448698498b879,57d0eb901fe84211b92b0a9d91f2e5c0,,df82e86b-bca5-4a87-9119-2e9c7a708532,oNLn7a7xv87XHdamxgeT
Judy,Judy_Teacher_Sitting_public,Dme3o25EiC1DfrBQd73f,Judy_Teacher_Sitting_public,Dme3o25EiC1DfrBQd73f,6e32f90a-f566-45be-9ec7-a5f6999ee606,Dme3o25EiC1DfrBQd73f
Shawn,Shawn_Therapist_public,YjlcD3XHztjJEo2wNszv,Shawn_Therapist_public,YjlcD3XHztjJEo2wNszv,7b888024-f8c9-4205-95e1-78ce01497bda,YjlcD3XHztjJEo2wNszv
Dexter,Dexter_Doctor_Sitting2_public,95822c8bf90b4b9490ad9b47052908f5,Dexter_Doctor_Sitting2_public,95822c8bf90b4b9490ad9b47052908f5,bd43ce31-7425-4379-8407-60f029548e61,wgHvco1wiREKN0BdyVx5
