Avatar Name,Avatar ID,Default Voice ID,Is Public,Status
Nigel,2bc688a56d3949d3a49aab4a44efab49,0f32cb5acd0b421f84f1435ae0ca68b7,false,ACTIVE
Kelsey,3b7f24e3906d417db21cd1eddcd52f4c,2a0dc5fa7e3c4fd28e0295feadfd974d,false,ACTIVE
Mark Lab,e16db57e57824a0e90b661ad528d3994,f432f2348d9948c6a5be7da8d0e06bda,false,ACTIVE
Thad,b115a2af9a9b41f3b69d589d6f26ecef,5337847935bd4f05b04cdc2a06e53422,false,ACTIVE
Willie,a9d3346d94594c5f9ca522f6d0469038,f8cb9e237a914c27a45728d43bd74835,false,ACTIVE
Thaddeus Professional Look 2,Thaddeus_ProfessionalLook2_public,da04d9a268ac468887a68359908e55b7,true,ACTIVE
Thaddeus Professional Look,Thaddeus_ProfessionalLook_public,da04d9a268ac468887a68359908e55b7,true,ACTIVE
Thaddeus Casual Look,Thaddeus_CasualLook_public,da04d9a268ac468887a68359908e55b7,true,ACTIVE
Pedro Professional Look 2,Pedro_ProfessionalLook2_public,fbc81b179407457688c45c0f250ec3ce,true,ACTIVE
Pedro Professional Look,Pedro_ProfessionalLook_public,fbc81b179407457688c45c0f250ec3ce,true,ACTIVE
Pedro Casual Look,Pedro_CasualLook_public,fbc81b179407457688c45c0f250ec3ce,true,ACTIVE
Marianne Professional Look 2,Marianne_ProfessionalLook2_public,6664c469256949f19aab13c83c6005a1,true,ACTIVE
Marianne Professional Look,Marianne_ProfessionalLook_public,6664c469256949f19aab13c83c6005a1,true,ACTIVE
Marianne Casual Look,Marianne_CasualLook_public,6664c469256949f19aab13c83c6005a1,true,ACTIVE
Katya Professional Look 2,Katya_ProfessionalLook2_public,a8afd8132bdb41a29cfba4944ac9c7ec,true,ACTIVE
Katya Professional Look,Katya_ProfessionalLook_public,a8afd8132bdb41a29cfba4944ac9c7ec,true,ACTIVE
Katya Casual Look,Katya_CasualLook_public,a8afd8132bdb41a29cfba4944ac9c7ec,true,ACTIVE
Graham Professional Look 2,Graham_ProfessionalLook2_public,b6b264e13f6942b6843bbdaf2cf423c4,true,ACTIVE
Graham Professional Look,Graham_ProfessionalLook_public,b6b264e13f6942b6843bbdaf2cf423c4,true,ACTIVE
Graham Casual Look,Graham_CasualLook_public,b6b264e13f6942b6843bbdaf2cf423c4,true,ACTIVE
Anthony Professional Look 2,Anthony_ProfessionalLook2_public,6f94c8b2a6784a1d92ffbe0339138f31,true,ACTIVE
Anthony Professional Look,Anthony_ProfessionalLook_public,6f94c8b2a6784a1d92ffbe0339138f31,true,ACTIVE
Anthony Casual Look,Anthony_CasualLook_public,6f94c8b2a6784a1d92ffbe0339138f31,true,ACTIVE
Alessandra Professional Look 2,Alessandra_ProfessionalLook2_public,0d3f35185d7c4360b9f03312e0264d59,true,ACTIVE
Alessandra Professional Look,Alessandra_ProfessionalLook_public,0d3f35185d7c4360b9f03312e0264d59,true,ACTIVE
Alessandra Casual Look,Alessandra_CasualLook_public,0d3f35185d7c4360b9f03312e0264d59,true,ACTIVE
Anastasia Professional Look 2,Anastasia_ProfessionalLook2_public,576ee47831a4479cb4c5a25065214905,true,ACTIVE
Anastasia Professional Look,Anastasia_ProfessionalLook_public,576ee47831a4479cb4c5a25065214905,true,ACTIVE
Anastasia Casual Look,Anastasia_CasualLook_public,576ee47831a4479cb4c5a25065214905,true,ACTIVE
Amina Professional Look 2,Amina_ProfessionalLook2_public,47211675cf674b82aa4fdbe6a785c9b3,true,ACTIVE
Amina Professional Look,Amina_ProfessionalLook_public,47211675cf674b82aa4fdbe6a785c9b3,true,ACTIVE
Amina Casual Look,Amina_CasualLook_public,47211675cf674b82aa4fdbe6a785c9b3,true,ACTIVE
Rika Professional Look 2,Rika_ProfessionalLook2_public,ac277b338cf64d8b9686784c43c563da,true,ACTIVE
Rika Professional Look,Rika_ProfessionalLook_public,ac277b338cf64d8b9686784c43c563da,true,ACTIVE
Rika Casual Look,Rika_CasualLook_public,ac277b338cf64d8b9686784c43c563da,true,ACTIVE
