Voice Name,Voice ID,Language,Gender,Support Pause
Cassidy ,e0cc82c22f414c95b1f25696c732f058,English,female,false
Chill Brian,f38a635bee7a4d1f9b0a654a31d050d2,English,male,false

Allison  ,f8c69e517f424cafaecde32dde57096b,English,female,false
Ivy,fb8c5c3f02854c57a4da182d4ed59467,English,female,false
John Doe,c4a8ceb7a2954500bc047fb092bcff3f,English,male,false
Ivy,cef3bc4e0a84424cafcde6f2cf466c97,English,female,false
Chill Brian,d2f4f24783d04e22ab49ee8fdc3715e0,English,male,false
John Doe,d92994ae0de34b2e8659b456a2f388b8,English,male,false

Mark  ,acff30ce1e944de8ac429d26fa9367ad,English,male,false
Jessica Anne Bogart,b966c31caf124c2a99f19ff1479c964f,English,female,false
Juniper,0c418eab508d4030879c0c3381433806,English,female,false
Cassidy ,16a09e4706f74997ba4ed05ea11470f6,English,female,false
Jessica Anne Bogart,1704ea0565c04c5188d9b67062b31a1a,English,female,false
Arabella,1a9bfb4ec9bc43d59ab64a4e66fe467c,English,female,false
Juniper,1d27414819f841fe9f600c20b9da7e58,English,female,false
Brittney,5411cb97409f4a3b90f31f83081cf5c6,English,female,false

Mark  ,5d8c378ba8c3434586081a52ac368738,English,male,false
Andrew,6be73833ef9a4eb0aeee399b8fe9d62b,English,male,false
Hope ,42d00d4aac5441279d8536cd6b52c53c,English,female,false
Archer ,453c20e1525a429080e2ad9e4b26f2cd,English,male,false
Brittney,4754e1ec667544b0bd18cdf4bec7d6a7,English,female,false
James,8a8fb6db01a44463a087e68f54d0870b,English,male,false
Chill Brian,9669e339a8ab46699b1efb2005343447,English,male,false
Monika Sogam,97dd67ab8ce242b6a9e7689cb00c6414,English,female,false
John Doe,28ce1d47b586430c9dcc6fe2a002c64c,English,male,false
Cassidy ,2e108e12085b4ed5a75857b97005596e,English,female,false
Spuds Oxley ,76940a9adcd0490a9ce2cfe9a64a2664,English,male,false
Patrick,7e157ec62c9c45f1adca12faae72c86f,English,male,false

Mark  ,7f2e83086b094ab988e495c6d2192ff7,English,male,false
Chill Brian,82850f3aba9c43ea8a347edeffad7a3d,English,male,false
David Castlemore,828b59f834fd4c7188da322b6d9b6c75,English,male,false
Brittney,84331d6f03e547d0b5b4e690d2d5c851,English,female,false
James,85f12b66e4204825861ad8bc991a56ce,English,male,false
Michael C,8661cd40d6c44c709e2d0031c0186ada,English,male,false
Adam Stone ,88bb9ee1c81b466eb2a08fdde86d3619,English,male,false

Alex  ,897d6a9b2c844f56aa077238768fe10a,English,male,false
Oxley,6c3d39e3232643139d8bb2035e963dda,English,male,false
Christina,6c417ccc9d63481ab08699c325d7dccd,English,female,false
Andrew Rizz ,6db9fd33d5a2402e9440b51fcc71ba18,English,male,false
Peyton,6dd171c356f94a138cdbb5bd11ea8ee8,English,female,false
Gerardo - Outdoor,6e032ca64a1745a0b48036e64042b2fb,English,male,false
Chloe - Lifelike,6e05e310c3f14ed4ba1545578ce82ff6,English,female,false
Georgia - Lifelike,6e4d89218fa24eb3b3fe4faa16a15895,English,female,false
